company_name,website,category,notes
White Label Agency,https://www.whitelabelagency.co/,agency,White-label digital marketing agency (Fairfax VA); potential white-label/outsource buyer
Agency Elevation,https://www.agencyelevation.com/,agency,White-label SEO agency; rebrand buyer
Victorious,https://victorious.com/,agency,SEO agency (award winner); tech SEO/audit buyer
That! Company,https://www.thatcompany.com/,agency,White-label digital marketing agency; audit partner
Staylisted,https://staylisted.com/,agency,Local SEO agency (Phoenix AZ)
Crackerjack Strategies,https://crackerjackstrategies.com/,agency,Local SEO & digital marketing agency for small businesses
Thrive Internet Marketing Agency,https://thriveagency.com/,agency,Full-service digital marketing agency
HigherVisibility,https://www.highervisibility.com/,agency,SEO agency; local SEO services
Net Site Marketing,https://nsmdirect.com/,agency,SEO agency (Asheville NC); AI/LLM SEO focus
Connor Cedro SEO,https://connorcedro.com/,agency,Indie SEO consultant (Tampa FL); white-label reseller potential
Derrick Law Firm,https://www.derricklawfirm.com/,local_service,Personal injury law firm (South Carolina); local SEO target
Nicolet Law,https://nicoletlaw.com/,local_service,Personal injury law firm (WI/ND/IA); local SEO target
Jacoby & Meyers,https://www.jacobyandmeyers.com/,local_service,CALaw firm; local SEO target
Gary Martin Hays,https://www.garymartinhays.com/,local_service,Atlanta personal injury law firm; local SEO target
JVS Plumbing,https://jvsplumbingco.com/,local_service,Residential plumbing (IL); local SEO target
Black Lake Plumbing,https://blacklakeplumbing.com/,local_service,Local plumber; water heater/plumbing local target
Mr. Rooter Plumbing,https://www.mrrooter.com/,local_service,National plumbing franchise; multi-location local SEO target
Gymshark,https://www.gymshark.com/,ecommerce,Womens/mens activewear ecommerce brand
CORKCICLE,https://corkcicle.com/,ecommerce,Insulated tumblers/coolers ecommerce brand
OstrichPillow,https://ostrichpillow.com/,ecommerce,D2C sleep/recovery product brand
JJJJound,https://www.jjjjound.com/,ecommerce,Design/fashion ecommerce brand
SheCurve,https://shecurve.com/,ecommerce,Shapewear/lingerie D2C ecommerce brand
